student_id,term,subject,score
S2000,Term1,Math,74.6
S2000,Term1,English,74.2
S2000,Term1,Science,81.7
S2000,Term1,History,69.3
S2000,Term1,Computer Science,68.4
S2000,Term1,Economics,70.0
S2000,Term1,Biology,48.5
S2000,Term2,Math,57.8
S2000,Term2,English,44.4
S2000,Term2,Science,63.4
S2000,Term2,History,48.2
S2000,Term2,Computer Science,58.1
S2000,Term2,Economics,57.8
S2000,Term2,Biology,54.6
S2000,Term3,Math,66.3
S2000,Term3,English,61.3
S2000,Term3,Science,55.8
S2000,Term3,History,40.5
S2000,Term3,Computer Science,65.7
S2000,Term3,Economics,58.7
S2000,Term3,Biology,46.0
S2001,Term1,Math,64.4
S2001,Term1,English,45.1
S2001,Term1,Science,56.0
S2001,Term1,History,60.0
S2001,Term1,Computer Science,69.4
S2001,Term1,Economics,52.0
S2001,Term1,Biology,66.9
S2001,Term2,Math,50.6
S2001,Term2,English,61.9
S2001,Term2,Science,65.1
S2001,Term2,History,67.1
S2001,Term2,Computer Science,60.5
S2001,Term2,Economics,66.1
S2001,Term2,Biology,45.5
S2001,Term3,Math,71.2
S2001,Term3,English,57.7
S2001,Term3,Science,75.2
S2001,Term3,History,75.0
S2001,Term3,Computer Science,66.0
S2001,Term3,Economics,79.5
S2001,Term3,Biology,75.2
S2002,Term1,Math,64.2
S2002,Term1,English,61.5
S2002,Term1,Science,62.5
S2002,Term1,History,67.1
S2002,Term1,Computer Science,53.7
S2002,Term1,Economics,61.5
S2002,Term1,Biology,61.5
S2002,Term2,Math,78.0
S2002,Term2,English,69.5
S2002,Term2,Science,61.2
S2002,Term2,History,89.0
S2002,Term2,Computer Science,70.7
S2002,Term2,Economics,59.6
S2002,Term2,Biology,79.6
S2002,Term3,Math,80.5
S2002,Term3,English,72.0
S2002,Term3,Science,73.7
S2002,Term3,History,71.4
S2002,Term3,Computer Science,58.5
S2002,Term3,Economics,64.7
S2002,Term3,Biology,67.4
S2003,Term1,Math,74.8
S2003,Term1,English,73.9
S2003,Term1,Science,91.9
S2003,Term1,History,75.5
S2003,Term1,Computer Science,87.8
S2003,Term1,Economics,65.0
S2003,Term1,Biology,85.0
S2003,Term2,Math,63.5
S2003,Term2,English,70.8
S2003,Term2,Science,79.6
S2003,Term2,History,59.9
S2003,Term2,Computer Science,62.3
S2003,Term2,Economics,79.9
S2003,Term2,Biology,71.9
S2003,Term3,Math,87.6
S2003,Term3,English,62.1
S2003,Term3,Science,59.0
S2003,Term3,History,71.5
S2003,Term3,Computer Science,76.9
S2003,Term3,Economics,80.8
S2003,Term3,Biology,89.8
S2004,Term1,Math,59.3
S2004,Term1,English,71.4
S2004,Term1,Science,77.9
S2004,Term1,History,64.2
S2004,Term1,Computer Science,61.6
S2004,Term1,Economics,76.4
S2004,Term1,Biology,67.7
S2004,Term2,Math,66.5
S2004,Term2,English,59.9
S2004,Term2,Science,74.8
S2004,Term2,History,81.6
S2004,Term2,Computer Science,55.8
S2004,Term2,Economics,75.0
S2004,Term2,Biology,100.0
S2004,Term3,Math,82.9
S2004,Term3,English,70.8
S2004,Term3,Science,67.6
S2004,Term3,History,65.9
S2004,Term3,Computer Science,89.6
S2004,Term3,Economics,68.7
S2004,Term3,Biology,60.5
S2005,Term1,Math,67.5
S2005,Term1,English,78.5
S2005,Term1,Science,74.7
S2005,Term1,History,70.9
S2005,Term1,Computer Science,89.5
S2005,Term1,Economics,69.3
S2005,Term1,Biology,80.1
S2005,Term2,Math,60.7
S2005,Term2,English,50.9
S2005,Term2,Science,51.9
S2005,Term2,History,68.6
S2005,Term2,Computer Science,48.6
S2005,Term2,Economics,77.7
S2005,Term2,Biology,49.0
S2005,Term3,Math,59.6
S2005,Term3,English,68.1
S2005,Term3,Science,56.0
S2005,Term3,History,39.0
S2005,Term3,Computer Science,49.2
S2005,Term3,Economics,55.2
S2005,Term3,Biology,59.4
S2006,Term1,Math,83.0
S2006,Term1,English,71.6
S2006,Term1,Science,82.9
S2006,Term1,History,77.6
S2006,Term1,Computer Science,78.8
S2006,Term1,Economics,94.7
S2006,Term1,Biology,91.5
S2006,Term2,Math,49.6
S2006,Term2,English,41.6
S2006,Term2,Science,40.7
S2006,Term2,History,49.9
S2006,Term2,Computer Science,41.4
S2006,Term2,Economics,51.5
S2006,Term2,Biology,53.8
S2006,Term3,Math,60.4
S2006,Term3,English,59.0
S2006,Term3,Science,67.4
S2006,Term3,History,58.7
S2006,Term3,Computer Science,54.2
S2006,Term3,Economics,67.7
S2006,Term3,Biology,70.4
S2007,Term1,Math,65.5
S2007,Term1,English,65.5
S2007,Term1,Science,70.4
S2007,Term1,History,78.7
S2007,Term1,Computer Science,51.5
S2007,Term1,Economics,76.2
S2007,Term1,Biology,72.7
S2007,Term2,Math,61.9
S2007,Term2,English,70.0
S2007,Term2,Science,57.7
S2007,Term2,History,66.9
S2007,Term2,Computer Science,56.0
S2007,Term2,Economics,67.8
S2007,Term2,Biology,59.1
S2007,Term3,Math,50.3
S2007,Term3,English,62.7
S2007,Term3,Science,80.4
S2007,Term3,History,69.5
S2007,Term3,Computer Science,59.2
S2007,Term3,Economics,64.9
S2007,Term3,Biology,62.0
S2008,Term1,Math,75.5
S2008,Term1,English,77.3
S2008,Term1,Science,70.4
S2008,Term1,History,71.0
S2008,Term1,Computer Science,67.3
S2008,Term1,Economics,83.8
S2008,Term1,Biology,91.3
S2008,Term2,Math,62.3
S2008,Term2,English,59.6
S2008,Term2,Science,49.2
S2008,Term2,History,44.6
S2008,Term2,Computer Science,55.5
S2008,Term2,Economics,73.7
S2008,Term2,Biology,56.5
S2008,Term3,Math,47.4
S2008,Term3,English,72.8
S2008,Term3,Science,40.4
S2008,Term3,History,60.5
S2008,Term3,Computer Science,48.2
S2008,Term3,Economics,53.7
S2008,Term3,Biology,52.6
S2009,Term1,Math,65.8
S2009,Term1,English,75.8
S2009,Term1,Science,65.1
S2009,Term1,History,75.3
S2009,Term1,Computer Science,66.6
S2009,Term1,Economics,78.4
S2009,Term1,Biology,76.5
S2009,Term2,Math,90.6
S2009,Term2,English,94.7
S2009,Term2,Science,83.4
S2009,Term2,History,96.8
S2009,Term2,Computer Science,69.1
S2009,Term2,Economics,75.3
S2009,Term2,Biology,100.0
S2009,Term3,Math,61.2
S2009,Term3,English,58.5
S2009,Term3,Science,67.0
S2009,Term3,History,56.8
S2009,Term3,Computer Science,65.9
S2009,Term3,Economics,59.7
S2009,Term3,Biology,55.2
S2010,Term1,Math,60.3
S2010,Term1,English,62.1
S2010,Term1,Science,60.3
S2010,Term1,History,55.8
S2010,Term1,Computer Science,75.3
S2010,Term1,Economics,58.9
S2010,Term1,Biology,64.3
S2010,Term2,Math,71.3
S2010,Term2,English,56.1
S2010,Term2,Science,43.3
S2010,Term2,History,67.7
S2010,Term2,Computer Science,67.4
S2010,Term2,Economics,67.6
S2010,Term2,Biology,84.1
S2010,Term3,Math,47.0
S2010,Term3,English,58.5
S2010,Term3,Science,52.9
S2010,Term3,History,72.9
S2010,Term3,Computer Science,67.2
S2010,Term3,Economics,70.3
S2010,Term3,Biology,72.5
S2011,Term1,Math,64.7
S2011,Term1,English,55.8
S2011,Term1,Science,89.4
S2011,Term1,History,69.3
S2011,Term1,Computer Science,63.9
S2011,Term1,Economics,61.1
S2011,Term1,Biology,63.9
S2011,Term2,Math,65.6
S2011,Term2,English,59.5
S2011,Term2,Science,74.7
S2011,Term2,History,64.6
S2011,Term2,Computer Science,57.4
S2011,Term2,Economics,64.6
S2011,Term2,Biology,63.9
S2011,Term3,Math,40.8
S2011,Term3,English,40.8
S2011,Term3,Science,36.2
S2011,Term3,History,37.0
S2011,Term3,Computer Science,44.7
S2011,Term3,Economics,40.4
S2011,Term3,Biology,46.4
S2012,Term1,Math,73.1
S2012,Term1,English,59.4
S2012,Term1,Science,74.8
S2012,Term1,History,75.5
S2012,Term1,Computer Science,71.6
S2012,Term1,Economics,82.1
S2012,Term1,Biology,77.1
S2012,Term2,Math,55.5
S2012,Term2,English,59.1
S2012,Term2,Science,78.6
S2012,Term2,History,61.8
S2012,Term2,Computer Science,62.4
S2012,Term2,Economics,44.7
S2012,Term2,Biology,50.6
S2012,Term3,Math,74.5
S2012,Term3,English,70.9
S2012,Term3,Science,58.2
S2012,Term3,History,56.4
S2012,Term3,Computer Science,72.5
S2012,Term3,Economics,68.6
S2012,Term3,Biology,75.7
S2013,Term1,Math,58.8
S2013,Term1,English,64.0
S2013,Term1,Science,63.9
S2013,Term1,History,72.1
S2013,Term1,Computer Science,67.6
S2013,Term1,Economics,58.6
S2013,Term1,Biology,68.7
S2013,Term2,Math,75.8
S2013,Term2,English,81.3
S2013,Term2,Science,73.9
